,Stacja,Rok,Miesiąc,Absolutna temperatura maksymalna [°C],Absolutna temperatura minimalna [°C],Średnia temperatura maksymalna [°C],Średnia temperatura minimalna [°C],Średnia temperatura miesięczna [°C],Miesieczna suma opadów [mm]
428,JELENIA GÓRA,1991,9,26.0,-0.6,20.4,6.7,13.3,38.7
429,JELENIA GÓRA,1991,10,22.6,-8.3,13.0,1.8,7.2,18.6
430,JELENIA GÓRA,1991,11,13.2,-9.7,6.3,-1.7,2.2,44.8
431,JELENIA GÓRA,1991,12,9.4,-22.8,1.6,-6.4,-2.2,69.2
432,JELENIA GÓRA,1992,1,11.0,-14.8,3.7,-3.4,0.1,39.7
433,JELENIA GÓRA,1992,2,15.0,-8.3,5.5,-2.4,1.4,60.3
434,JELENIA GÓRA,1992,3,15.9,-6.6,8.2,-1.0,3.3,77.9
435,JELENIA GÓRA,1992,4,24.4,-5.0,12.8,1.1,7.0,25.3
436,JELENIA GÓRA,1992,5,25.2,-0.5,19.1,5.4,12.8,25.4
437,JELENIA GÓRA,1992,6,28.2,4.6,23.0,9.5,16.8,63.0
438,JELENIA GÓRA,1992,7,33.0,4.8,25.1,11.0,18.4,48.7
439,JELENIA GÓRA,1992,8,35.0,7.5,27.8,12.4,20.0,58.1
440,JELENIA GÓRA,1992,9,25.2,-0.4,19.3,6.6,12.5,25.4
441,JELENIA GÓRA,1992,10,21.5,-7.1,10.7,1.1,5.7,37.8
442,JELENIA GÓRA,1992,11,15.9,-8.0,8.0,-0.3,3.8,19.6
443,JELENIA GÓRA,1992,12,12.2,-16.3,2.5,-4.7,-1.4,30.5
444,JELENIA GÓRA,1993,1,17.0,-21.4,5.9,-4.5,1.0,29.2
445,JELENIA GÓRA,1993,2,11.1,-21.4,2.5,-7.4,-2.9,51.7
446,JELENIA GÓRA,1993,3,17.6,-15.4,5.8,-2.8,1.2,52.0
447,JELENIA GÓRA,1993,4,25.2,-5.1,14.8,2.0,8.8,31.6
448,JELENIA GÓRA,1993,5,27.0,2.1,20.9,7.2,14.1,54.3
449,JELENIA GÓRA,1993,6,28.0,5.4,20.2,9.8,14.8,60.2
450,JELENIA GÓRA,1993,7,27.6,3.8,21.2,9.8,15.4,146.9
451,JELENIA GÓRA,1993,8,31.3,3.5,21.5,9.8,15.4,71.5
452,JELENIA GÓRA,1993,9,24.4,-0.8,17.0,7.2,12.0,78.8
453,JELENIA GÓRA,1993,10,23.6,-6.1,12.5,3.0,7.7,61.2
454,JELENIA GÓRA,1993,11,11.5,-17.3,2.8,-5.5,-1.5,24.8
455,JELENIA GÓRA,1993,12,11.6,-15.4,5.5,-1.8,2.4,44.2
456,JELENIA GÓRA,1994,1,11.6,-14.6,6.0,-1.4,2.5,31.8
457,JELENIA GÓRA,1994,2,16.8,-17.5,2.2,-6.4,-2.0,17.4
458,JELENIA GÓRA,1994,3,20.1,-5.4,9.3,0.5,4.9,86.5
459,JELENIA GÓRA,1994,4,23.4,-5.2,12.4,0.7,7.0,59.3
460,JELENIA GÓRA,1994,5,25.4,-1.3,17.6,5.9,11.8,74.0
461,JELENIA GÓRA,1994,6,33.3,1.5,21.5,8.1,15.2,48.6
462,JELENIA GÓRA,1994,7,35.4,5.8,27.5,11.2,19.8,32.7
463,JELENIA GÓRA,1994,8,35.8,4.5,23.6,11.3,17.1,72.0
464,JELENIA GÓRA,1994,9,23.9,2.3,18.6,8.5,13.4,87.2
465,JELENIA GÓRA,1994,10,19.1,-8.1,12.1,1.0,6.5,23.3
466,JELENIA GÓRA,1994,11,17.1,-7.6,9.2,1.2,5.2,27.7
